Year,Job Family,Total Salary
2016,Fire Services,162414.15
2015,Fire Services,158614.96
2014,Fire Services,156594.0
2013,Fire Services,165681.86
2016,Fire Services,101057.87
2015,Fire Services,91530.28
2014,Fire Services,84573.07
2013,Fire Services,85157.44
2016,Fire Services,83746.67
2016,Fire Services,163716.37
2015,Fire Services,174565.1
2014,Fire Services,140509.96
2013,Fire Services,137456.88
2016,Fire Services,204589.35
2015,Fire Services,100647.78
2015,Fire Services,101338.79
2014,Fire Services,154208.28
2013,Fire Services,174155.76
2014,Fire Services,123118.4
2013,Fire Services,186135.27
2016,Fire Services,77070.72
2016,Fire Services,184972.06
2015,Fire Services,161498.75
2014,Fire Services,157311.52
2013,Fire Services,183596.79
2016,Fire Services,160911.67
2015,Fire Services,149458.18
2014,Fire Services,132211.26
2013,Fire Services,157277.46
2015,Fire Services,179826.76
2014,Fire Services,226825.63
2013,Fire Services,210397.99
2016,Fire Services,147675.94
2015,Fire Services,140032.19
2014,Fire Services,136970.82
2013,Fire Services,149114.37
2016,Fire Services,114026.97
2015,Fire Services,94762.7
2014,Fire Services,35255.11
2016,Fire Services,37960.86
2016,Fire Services,143999.68
2015,Fire Services,160807.93
2014,Fire Services,171541.57
2013,Fire Services,198899.02
2014,Fire Services,63160.85
2013,Fire Services,122629.13
2016,Fire Services,253980.84
2015,Fire Services,191902.21
2014,Fire Services,260943.62
2013,Fire Services,235842.01
2016,Fire Services,107924.58
2015,Fire Services,101693.72
2014,Fire Services,89929.46
2013,Fire Services,26417.22
2016,Fire Services,165841.14
2015,Fire Services,161774.15
2014,Fire Services,157256.56
2016,Fire Services,142323.86
2015,Fire Services,139471.73
2014,Fire Services,140783.1
2013,Fire Services,145006.85
2016,Fire Services,10368.57
2015,Fire Services,1508.06
2016,Fire Services,75722.58
2013,Fire Services,180606.63
2016,Fire Services,138261.65
2015,Fire Services,143629.79
2014,Fire Services,120452.16
2013,Fire Services,126852.23
2016,Fire Services,57979.72
2015,Fire Services,4093.31
2016,Fire Services,97732.38
2015,Fire Services,101494.72
2014,Fire Services,88484.44
2013,Fire Services,84427.04
2016,Fire Services,153596.99
2015,Fire Services,143186.05
